dataset,experiment,model_label,backbone,probe,layer_key,n_seeds,seeds,seed_source,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:31,3,"42,101,102",ready_manifest,33.33333333333332,1.960784313725478,59.640522875816984,0.7487868782607446,34.640522875816984,2.995147513043032,58.98692810457514,1.233633077658646
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:32,3,"42,101,102",ready_manifest,25.490196078431342,3.3961780540566755,53.92156862745096,0.8490445135141361,20.261437908496703,2.2641187027043883,56.69934640522873,0.5660296756760483
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:33,3,"42,101,102",ready_manifest,18.300653594771234,2.995147513043043,51.47058823529411,0.9803921568627487,13.725490196078404,10.917185025156869,52.12418300653593,1.0204245095422155
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:34,3,"42,101,102",ready_manifest,45.09803921568625,3.396178054056604,62.09150326797384,1.4975737565215188,40.52287581699344,4.528237405408805,62.254901960784295,0.8490445135141218
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:35,3,"42,101,102",ready_manifest,35.29411764705881,1.9607843137254939,60.94771241830065,0.7487868782607703,41.17647058823526,1.9607843137254903,63.56209150326797,0.7487868782607602
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:36,3,"42,101,102",ready_manifest,37.25490196078428,5.187747668754064,56.69934640522874,3.18941524443513,22.875816993464024,4.081698038168903,56.535947712418285,0.2830148378380611
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:37,3,"42,101,102",ready_manifest,29.41176470588234,1.9607843137254672,58.82352941176469,0.9803921568627771,21.568627450980365,3.396178054056597,56.8627450980392,0.4901960784313921
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:38,3,"42,101,102",ready_manifest,44.444444444444414,2.2641187027044354,59.64052287581698,1.132059351352224,30.065359477124183,8.163396076337774,57.35294117647056,1.7674270958156373
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:39,3,"42,101,102",ready_manifest,41.17647058823527,3.396178054056598,59.47712418300651,1.233633077658622,39.869281045751606,2.9951475130429865,61.764705882352935,1.296936917188539
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:4,3,"42,101,102",ready_manifest,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:40,3,"42,101,102",ready_manifest,18.954248366013065,4.081698038168895,48.202614379084956,1.4975737565215026,28.10457516339868,2.2641187027044025,53.10457516339869,1.233633077658613
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:5,3,"42,101,102",ready_manifest,22.222222222222214,5.660296756761048,52.77777777777775,2.0408490190844844,13.071895424836574,10.799157935855062,51.470588235294116,0.4901960784313779
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:6,3,"42,101,102",ready_manifest,15.686274509803916,1.9607843137254903,50.326797385620885,1.2336330776586153,8.49673202614378,4.93453231063446,51.79738562091502,1.0204245095422098
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:7,3,"42,101,102",ready_manifest,32.679738562091494,2.99514751304302,56.69934640522875,0.2830148378380447,13.071895424836594,2.995147513043023,55.88235294117645,0.4901960784313708
intphys2,ltx,LTX-13B,LTX-13B,mlp,id:8,3,"42,101,102",ready_manifest,14.379084967320251,1.1320593513522157,52.94117647058821,2.7292962562892606,16.99346405228755,4.081698038168836,58.49673202614379,0.2830148378380488
