dataset,experiment,model_label,backbone,probe,layer_key,layer,layer_label,config_id,manifest_seeds,expected_seeds,loaded_n_seeds,loaded_seeds,missing_loaded_seeds,loaded_seed_source,test_primary_mean,test_primary_std,status,manifest
intphys2,ltx,LTX-2B,LTX-2B,linear,id:24,24,noise_0.5_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_24,"101,102","42,101,102",3,"42,101,102",,ready_manifest,17.647058823529413,3.9215686274509807,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:25,25,noise_0.4_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_25,"101,102","42,101,102",3,"42,101,102",,ready_manifest,9.803921568627452,1.96078431372549,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:26,26,noise_0.4_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_26,"101,102","42,101,102",3,"42,101,102",,ready_manifest,11.764705882352942,1.9607843137254903,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:27,27,noise_0.4_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_27,"101,102","42,101,102",3,"42,101,102",,ready_manifest,22.875816993464053,6.303039713067292,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:28,28,noise_0.4_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_28,"101,102","42,101,102",3,"42,101,102",,ready_manifest,14.379084967320262,6.886048204478916,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:29,29,noise_0.3_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_29,"101,102","42,101,102",3,"42,101,102",,ready_manifest,8.49673202614379,1.132059351352209,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:3,3,noise_1.0_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_3,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:30,30,noise_0.3_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_30,"101,102","42,101,102",3,"42,101,102",,ready_manifest,21.568627450980397,5.88235294117647,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:31,31,noise_0.3_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_31,"101,102","42,101,102",3,"42,101,102",,ready_manifest,12.41830065359477,2.995147513043031,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:32,32,noise_0.3_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_32,"101,102","42,101,102",3,"42,101,102",,ready_manifest,7.84313725490196,3.3961780540566218,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:33,33,noise_0.2_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_33,"101,102","42,101,102",3,"42,101,102",,ready_manifest,9.15032679738562,4.081698038168889,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:34,34,noise_0.2_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_34,"101,102","42,101,102",3,"42,101,102",,ready_manifest,21.56862745098039,5.1877476687541,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:35,35,noise_0.2_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_35,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.339869281045754,5.990295026086065,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:36,36,noise_0.2_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_36,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.99346405228758,4.52823740540883,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:37,37,noise_0.1_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_37,"101,102","42,101,102",3,"42,101,102",,ready_manifest,7.84313725490196,5.187747668754099,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:38,38,noise_0.1_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_38,"101,102","42,101,102",3,"42,101,102",,ready_manifest,6.5359477124183,7.92441545946545,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:39,39,noise_0.1_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_39,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.99346405228758,2.9951475130430327,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:4,4,noise_1.0_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_4,"101,102","42,101,102",3,"42,101,102",,ready_manifest,0.0,0.0,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:40,40,noise_0.1_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_40,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.33986928104575,2.995147513043031,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:5,5,noise_0.9_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_5,"101,102","42,101,102",3,"42,101,102",,ready_manifest,5.88235294117647,3.921568627450981,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:6,6,noise_0.9_block_14,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_6,"101,102","42,101,102",3,"42,101,102",,ready_manifest,11.764705882352942,5.882352941176472,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:7,7,noise_0.9_block_21,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_7,"101,102","42,101,102",3,"42,101,102",,ready_manifest,20.26143790849673,7.423409602353298,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:8,8,noise_0.9_block_28,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_8,"101,102","42,101,102",3,"42,101,102",,ready_manifest,16.33986928104575,6.30303971306729,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,ltx,LTX-2B,LTX-2B,linear,id:9,9,noise_0.8_block_7,intphys2__ltx__ltx_2b_0_9_8_distilled__linear__slot_9,"101,102","42,101,102",3,"42,101,102",,ready_manifest,12.418300653594772,8.163396076337776,OK,seed_manifest_intphys2_ltx2b_linear_mlp.csv
intphys2,main,V-JEPA,ViT-H/16,linear,id:16,16,Layer 0.5,intphys2__jepa_v1__linear__layer_16,"101,102","42,101,102",3,"42,101,102",,original,37.254902,0.0,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv
intphys2,main,V-JEPA,ViT-H/16,linear,id:24,24,Layer 0.75,intphys2__jepa_v1__linear__layer_24,"101,102","42,101,102",3,"42,101,102",,original,47.712418,4.081698,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv;seed_manifest_main_linear_mlp_v1.csv
intphys2,main,V-JEPA,ViT-H/16,linear,id:32,32,Final layer,intphys2__jepa_v1__linear__layer_32,"101,102","42,101,102",3,"42,101,102",,original,48.366013,1.132059,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv
intphys2,main,V-JEPA,ViT-H/16,linear,id:8,8,Layer 0.25,intphys2__jepa_v1__linear__layer_8,"101,102","42,101,102",3,"42,101,102",,original,16.339869,4.528237,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv
intphys2,same_L,V-JEPA,ViT-L/16,linear,id:12,12,12,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_12,"101,102","42,101,102",3,"42,101,102",,original,31.372549,1.960784,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
intphys2,same_L,V-JEPA,ViT-L/16,linear,id:18,18,18,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_18,"101,102","42,101,102",3,"42,101,102",,original,35.294118,1.960785,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
intphys2,same_L,V-JEPA,ViT-L/16,linear,id:24,24,24,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_24,"101,102","42,101,102",3,"42,101,102",,original,48.366013,5.990295,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
intphys2,same_L,V-JEPA,ViT-L/16,linear,id:6,6,6,intphys2__same_l__jepa_v1__vitl16_224__linear__layer_6,"101,102","42,101,102",3,"42,101,102",,original,26.143791,1.132059,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
intphys2,main,V-JEPA 2,ViT-G/16,linear,id:10,10,Layer 0.25,intphys2__jepa_v2__linear__layer_10,"101,102","42,101,102",3,"42,101,102",,original,14.379085,2.995148,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv
intphys2,main,V-JEPA 2,ViT-G/16,linear,id:20,20,Layer 0.5,intphys2__jepa_v2__linear__layer_20,"101,102","42,101,102",3,"42,101,102",,original,23.529412,1.960785,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv
intphys2,main,V-JEPA 2,ViT-G/16,linear,id:30,30,Layer 0.75,intphys2__jepa_v2__linear__layer_30,"101,102","42,101,102",3,"42,101,102",,original,37.908497,2.995148,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv
intphys2,main,V-JEPA 2,ViT-G/16,linear,id:40,40,Final layer,intphys2__jepa_v2__linear__layer_40,"101,102","42,101,102",3,"42,101,102",,original,38.562092,2.264119,OK,seed_manifest_layerwise_main_linear_mlp_v1.csv;seed_manifest_main_linear_mlp_v1.csv
intphys2,same_L,V-JEPA 2,ViT-L/16,linear,id:12,12,12,intphys2__same_l__jepa_v2__vitl_256__linear__layer_12,"101,102","42,101,102",3,"42,101,102",,original,35.947713,1.132059,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
intphys2,same_L,V-JEPA 2,ViT-L/16,linear,id:18,18,18,intphys2__same_l__jepa_v2__vitl_256__linear__layer_18,"101,102","42,101,102",3,"42,101,102",,original,50.326797,1.132059,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
intphys2,same_L,V-JEPA 2,ViT-L/16,linear,id:24,24,24,intphys2__same_l__jepa_v2__vitl_256__linear__layer_24,"101,102","42,101,102",3,"42,101,102",,original,33.986928,2.264119,OK,seed_manifest_layerwise_same_l_linear_mlp_v1.csv
