config_id,dataset,experiment,model,backbone,probe,layer,n_final_seeds,final_seeds,old_test_primary_mean,old_test_primary_std,final_test_primary_mean,final_test_primary_std,old_test_accuracy_mean,old_test_accuracy_std,final_test_accuracy_mean,final_test_accuracy_std,seed42_test_primary,seed101102_final_test_primary_mean,seed101102_final_minus_seed42,final_test_primary_values,old_test_primary_values,final_test_accuracy_values
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9,MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,9,3,"42,101,102",86.15,1.17,86.15,1.17,92.37,0.50,92.37,0.50,85.74,86.35,0.61,"85.74,87.46,85.24","85.74,87.46,85.24","92.21,92.92,91.96"
mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12,MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,12,3,"42,101,102",71.62,3.20,71.62,3.20,83.47,1.80,83.47,1.80,75.13,69.87,-5.26,"75.13,68.86,70.88","75.13,68.86,70.88","85.49,82.05,82.86"
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_6,MVP,same_L,V-JEPA,ViT-L/16,Attentive,6,3,"42,101,102",75.46,1.44,75.46,1.44,86.01,0.85,86.01,0.85,73.81,76.29,2.48,"73.81,76.44,76.14","73.81,76.44,76.14","85.04,86.55,86.45"
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_12,MVP,same_L,V-JEPA,ViT-L/16,Attentive,12,3,"42,101,102",91.44,0.94,91.44,0.94,95.38,0.64,95.38,0.64,92.21,91.05,-1.16,"92.21,91.71,90.39","92.21,91.71,90.39","95.70,95.80,94.64"
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_18,MVP,same_L,V-JEPA,ViT-L/16,Attentive,18,3,"42,101,102",93.83,0.30,93.46,0.41,96.58,0.20,96.38,0.15,93.83,93.28,-0.56,"93.83,93.53,93.02","93.83,93.53,94.14","96.46,96.46,96.21"
mvp__same_l__jepa_v1__vitl16_224__temporal_attn__layer_24,MVP,same_L,V-JEPA,ViT-L/16,Attentive,24,3,"42,101,102",90.66,3.13,90.66,3.13,95.01,1.78,95.01,1.78,93.43,89.28,-4.15,"93.43,91.30,87.26","93.43,91.30,87.26","96.56,95.40,93.07"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_6,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,6,3,"42,101,102",49.65,5.00,53.02,2.59,70.80,1.70,71.12,0.74,52.78,53.13,0.35,"52.78,50.56,55.71","52.78,43.88,52.28","70.88,70.53,71.94"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_12,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,12,3,"42,101,102",82.27,5.74,84.16,5.11,90.01,3.13,90.90,3.20,86.86,82.81,-4.04,"86.86,87.36,78.26","86.86,84.13,75.83","92.52,92.97,87.21"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_18,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,18,3,"42,101,102",93.36,0.76,93.36,0.76,96.29,0.38,96.29,0.38,93.33,93.38,0.05,"93.33,92.62,94.14","93.33,92.62,94.14","96.31,95.90,96.66"
mvp__same_l__jepa_v2__vitl_256__temporal_attn__layer_24,MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,24,3,"42,101,102",93.46,0.57,93.02,0.54,96.46,0.32,96.31,0.35,92.82,93.12,0.30,"92.82,93.63,92.62","92.82,93.63,93.93","96.11,96.71,96.11"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_6,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,6,3,"42,101,102",23.53,30.22,57.03,3.08,59.25,12.87,75.11,1.19,57.63,56.72,-0.91,"57.63,59.76,53.69","57.63,12.84,0.10","73.96,76.34,75.03"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_12,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,12,3,"42,101,102",81.43,4.97,81.40,5.00,89.70,3.25,89.92,3.04,87.16,78.51,-8.65,"87.16,78.26,78.77","87.16,78.36,78.77","93.43,88.07,88.27"
mvp__same_l__jepa_v2_1__vitl_384__temporal_attn__layer_18,MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,18,3,"42,101,102",74.08,18.95,78.19,15.14,86.72,9.58,87.60,8.61,89.38,72.60,-16.78,"89.38,60.97,84.23","89.38,52.88,79.98","94.39,77.91,90.50"
