config_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,n_seeds,seeds,test_primary_mean,test_primary_std,test_accuracy_mean,test_accuracy_std,val_primary_mean,val_primary_std,val_accuracy_mean,val_accuracy_std,train_primary_mean,train_primary_std,train_accuracy_mean,train_accuracy_std,complete,missing_seeds,notes
mvp__jepa_v2_1__mlp__layer_48,MVP,mvp,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,mlp,48,Final layer,3,"42,101,102",67.441861,0.926709,81.209976,0.386129,71.65487,0.382804,83.704078,0.145943,98.381113,0.243207,99.190557,0.121604,true,,
mvp__jepa_v2__linear__layer_10,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,10,Layer 0.25,3,"42,101,102",31.07516,1.206305,60.936973,0.864397,30.097742,0.688257,60.212336,0.281484,34.367622,0.236088,63.428893,0.213529,true,,
mvp__jepa_v2__linear__layer_20,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,20,Layer 0.5,3,"42,101,102",32.55814,1.166084,61.964948,0.652023,34.041119,0.308903,62.504213,0.344129,39.527825,0.34229,66.593592,0.288162,true,,
mvp__jepa_v2__linear__layer_30,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,30,Layer 0.75,3,"42,101,102",38.456353,3.02887,64.897203,0.867348,38.490057,1.903311,64.897203,0.177547,42.855537,4.576709,67.982012,1.472276,true,,
mvp__jepa_v2__linear__layer_40,MVP,mvp,main,V-JEPA 2,ViT-G/16,Linear,linear,40,Final layer,3,"42,101,102",47.893495,0.574949,69.228176,0.640156,48.904618,0.758903,70.222447,0.182282,52.512648,1.060117,72.782462,0.483777,true,,
mvp__jepa_v2__mlp__layer_10,MVP,mvp,main,V-JEPA 2,ViT-G/16,MLP,mlp,10,Layer 0.25,3,"42,101,102",51.56724,0.631446,72.042467,0.401277,53.656892,0.508921,73.592855,0.429974,91.14109,2.664276,95.480607,1.336046,true,,
mvp__jepa_v2__mlp__layer_20,MVP,mvp,main,V-JEPA 2,ViT-G/16,MLP,mlp,20,Layer 0.5,3,"42,101,102",58.881025,1.113766,76.541962,0.431952,63.127738,0.717351,79.238288,0.249387,94.569983,1.962831,97.268128,0.996654,true,,
mvp__jepa_v2__mlp__layer_30,MVP,mvp,main,V-JEPA 2,ViT-G/16,MLP,mlp,30,Layer 0.75,3,"42,101,102",73.542299,0.758903,84.816313,0.365732,76.440849,0.364566,86.872262,0.25446,99.426644,0.178466,99.713322,0.089233,true,,
mvp__jepa_v2__mlp__layer_40,MVP,mvp,main,V-JEPA 2,ViT-G/16,MLP,mlp,40,Final layer,3,"42,101,102",86.316144,0.382804,92.467138,0.267518,87.698012,0.116755,93.259185,0.116755,99.820123,0.103037,99.910062,0.051518,true,,
mvp__videomae__linear__layer_16,MVP,mvp,main,VideoMAE,ViT-H/16,Linear,linear,16,Layer 0.5,3,"42,101,102",35.827435,0.650061,63.751264,0.307521,34.782609,0.926709,63.127738,0.105241,39.516582,0.637547,66.700393,0.236889,true,,
mvp__videomae__linear__layer_24,MVP,mvp,main,VideoMAE,ViT-H/16,Linear,linear,24,Layer 0.75,3,"42,101,102",34.715201,2.885392,63.751264,0.440738,34.647792,2.840756,64.374789,0.420964,39.078134,3.716433,67.223159,0.823088,true,,
mvp__videomae__linear__layer_32,MVP,mvp,main,VideoMAE,ViT-H/16,Linear,linear,32,Final layer,3,"42,101,102",33.535558,2.293116,62.841254,0.919788,34.883721,1.139477,63.683855,0.469746,38.673412,2.153328,66.379989,0.950554,true,,
mvp__videomae__linear__layer_8,MVP,mvp,main,VideoMAE,ViT-H/16,Linear,linear,8,Layer 0.25,3,"42,101,102",30.872936,0.883407,60.785305,0.927168,31.917762,0.556883,62.184024,0.151669,36.121416,0.658321,64.828556,0.438557,true,,
