run_set,config_id,run_id,experiment,dataset,model,backbone,probe,layer,seed,actual_epochs,target_epochs,remaining_epochs,early_stopped,best_epoch,elapsed_seconds,seconds_per_epoch,estimated_gpu_hours,estimated_sbu,probe_last
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6__seed_101,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,6,101,30,30,0,False,29,5483.636073,182.787869,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6/seed_101/layer_6/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6__seed_102,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,6,102,30,30,0,False,26,5417.487124,180.582904,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_6/seed_102/layer_6/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9__seed_101,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,9,101,30,30,0,False,26,5193.805805,173.126860,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9/seed_101/layer_9/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9__seed_102,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,9,102,30,30,0,True,25,5178.570721,172.619024,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_9/seed_102/layer_9/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12__seed_101,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,12,101,30,30,0,False,29,5098.809997,169.960333,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12/seed_101/layer_12/train/probe_last.pt
backbone_sweep_attentive,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12,mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12__seed_102,backbone_sweep,MVP,VideoMAE-v2,ViT-B/16,Attentive,12,102,30,30,0,False,26,5118.835364,170.627845,0.000000,0.000,artifacts/probes/mvp/seed_runs_layerwise_backbone_sweep_v1/mvp__backbone_sweep__videomae_v2__vit_base_16_224__temporal_attn__layer_12/seed_102/layer_12/train/probe_last.pt
main_intphys2_attentive,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8__seed_101,main,IntPhys2,V-JEPA,ViT-H/16,Attentive,8,101,49,90,41,True,29,3530.868543,72.058542,0.820667,105.045,artifacts/probes/intphys2/seed_runs_layerwise_attentive_v1/intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8/seed_101/layer_8/train/probe_last.pt
main_intphys2_attentive,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8__seed_102,main,IntPhys2,V-JEPA,ViT-H/16,Attentive,8,102,30,90,60,True,10,2169.679478,72.322649,1.205377,154.288,artifacts/probes/intphys2/seed_runs_layerwise_attentive_v1/intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8/seed_102/layer_8/train/probe_last.pt
main_intphys2_attentive,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16__seed_101,main,IntPhys2,V-JEPA,ViT-H/16,Attentive,16,101,64,90,26,True,44,4612.685847,72.073216,0.520529,66.628,artifacts/probes/intphys2/seed_runs_layerwise_attentive_v1/intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16/seed_101/layer_16/train/probe_last.pt
main_intphys2_attentive,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16__seed_102,main,IntPhys2,V-JEPA,ViT-H/16,Attentive,16,102,76,90,14,True,56,5535.610385,72.836979,0.283255,36.257,artifacts/probes/intphys2/seed_runs_layerwise_attentive_v1/intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16/seed_102/layer_16/train/probe_last.pt
