cid,dataset,experiment,model,backbone,layer,seed42,old101,old102,new101,new102,old_std,new_std,delta_std,old_diff_from42,new_diff_from42,new101_nan,new102_nan,new101_best,new102_best,new101_first_nan,new102_first_nan,new101_best_before_nan,new102_best_before_nan,lr101,lr102
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_9,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,9,52.94117647058824,54.90196078431373,54.90196078431373,60.78431372549019,54.90196078431373,1.1320593513522075,4.081698038168883,2.9496386868166757,1.9607843137254903,4.901960784313722,0,0,19.0,27.0,,,,,5e-5,5e-5
intphys2__backbone_sweep__videomae_v2__vit_b_16__temporal_attn__layer_12,IntPhys2,backbone_sweep,VideoMAE-v2,ViT-B/16,12,43.13725490196079,37.254901960784316,35.294117647058826,29.411764705882355,37.254901960784316,4.081698038168888,6.886048204478914,2.8043501663100265,-6.862745098039213,-9.803921568627452,0,0,7.0,2.0,,,,,1e-4,1e-4
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_8,IntPhys2,main,V-JEPA,ViT-H/16,8,9.803921568627452,13.725490196078432,15.686274509803921,1.9607843137254901,17.647058823529413,2.9951475130430323,7.843137254901961,4.847989741858929,4.901960784313726,0.0,36,53,1.0,4.0,6,8,True,True,5e-4,5e-4
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_16,IntPhys2,main,V-JEPA,ViT-H/16,16,66.66666666666666,56.86274509803921,56.86274509803921,68.62745098039215,58.82352941176471,5.660296756761033,5.187747668754095,-0.4725490880069385,-9.803921568627445,-2.941176470588225,0,0,5.0,1.0,,,,,1e-5,1e-5
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_24,IntPhys2,main,V-JEPA,ViT-H/16,24,64.70588235294117,62.745098039215684,60.78431372549019,52.94117647058824,58.82352941176471,1.9607843137254903,5.8823529411764675,3.921568627450977,-2.941176470588232,-8.823529411764696,0,0,19.0,23.0,,,,,1e-4,1e-4
intphys2__main__v_jepa__vit_h_16__temporal_attn__layer_32,IntPhys2,main,V-JEPA,ViT-H/16,32,52.94117647058824,52.94117647058824,52.94117647058824,56.86274509803921,60.78431372549019,0.0,3.921568627450977,3.921568627450977,0.0,5.882352941176464,0,0,30.0,4.0,,,,,1e-5,1e-5
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_10,IntPhys2,main,V-JEPA 2,ViT-G/16,10,1.96078431372549,13.725490196078432,7.8431372549019605,7.8431372549019605,7.8431372549019605,5.882352941176471,3.396178054056622,-2.486174887119849,8.823529411764707,5.882352941176471,0,0,32.0,63.0,,,,,1e-4,1e-4
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_20,IntPhys2,main,V-JEPA 2,ViT-G/16,20,9.803921568627452,15.686274509803921,11.76470588235294,5.88235294117647,17.647058823529413,2.9951475130430323,5.990295026086066,2.995147513043034,3.921568627450979,1.9607843137254903,0,0,15.0,46.0,,,,,5e-5,5e-5
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_30,IntPhys2,main,V-JEPA 2,ViT-G/16,30,56.86274509803921,50.98039215686274,50.98039215686274,54.90196078431373,54.90196078431373,3.396178054056622,1.1320593513522033,-2.264118702704419,-5.882352941176471,-1.9607843137254832,0,0,15.0,30.0,,,,,5e-5,5e-5
intphys2__main__v_jepa_2__vit_g_16__temporal_attn__layer_40,IntPhys2,main,V-JEPA 2,ViT-G/16,40,78.43137254901961,60.78431372549019,54.90196078431373,64.70588235294117,54.90196078431373,12.245094114506665,11.819046614395507,-0.42604750011115833,-20.588235294117652,-18.62745098039216,0,0,3.0,79.0,,,,,1e-5,1e-5
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_12,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,12,23.52941176470588,15.686274509803921,21.568627450980394,13.725490196078432,15.686274509803921,4.081698038168888,5.187747668754098,1.1060496305852103,-4.901960784313722,-8.823529411764703,0,0,7.0,13.0,,,,,1e-5,1e-5
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_24,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,24,50.98039215686274,49.01960784313725,52.94117647058824,49.01960784313725,52.94117647058824,1.9607843137254939,1.9607843137254939,0.0,7.105427357601002e-15,7.105427357601002e-15,0,0,87.0,85.0,,,,,1e-5,1e-5
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_38,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,38,54.90196078431373,54.90196078431373,68.62745098039215,56.86274509803921,64.70588235294117,7.924415459465448,5.187747668754097,-2.7366677907113504,6.862745098039213,5.882352941176464,0,0,2.0,3.0,,,,,5e-5,5e-5
intphys2__main__v_jepa_2_1__vit_gigantic_16__temporal_attn__layer_48,IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,48,60.78431372549019,52.94117647058824,50.98039215686274,56.86274509803921,58.82352941176471,5.187747668754098,1.9607843137254903,-3.226963355028608,-8.823529411764703,-2.941176470588232,0,0,6.0,18.0,,,,,1e-4,1e-4
intphys2__main__videomae__vit_h_16__temporal_attn__layer_8,IntPhys2,main,VideoMAE,ViT-H/16,8,13.72549019607843,19.607843137254903,13.725490196078432,23.52941176470588,19.607843137254903,3.396178054056623,4.934532310634476,1.5383542565778532,2.9411764705882373,7.843137254901963,0,0,5.0,50.0,,,,,1e-5,1e-5
intphys2__main__videomae__vit_h_16__temporal_attn__layer_16,IntPhys2,main,VideoMAE,ViT-H/16,16,54.90196078431373,54.90196078431373,56.86274509803921,60.78431372549019,54.90196078431373,1.1320593513522033,3.396178054056618,2.264118702704415,0.9803921568627416,2.941176470588232,0,0,12.0,9.0,,,,,5e-5,5e-5
intphys2__main__videomae__vit_h_16__temporal_attn__layer_24,IntPhys2,main,VideoMAE,ViT-H/16,24,76.47058823529412,74.50980392156863,68.62745098039215,76.47058823529412,68.62745098039215,4.081698038168889,4.52823740540883,0.44653936723994114,-4.901960784313729,-3.9215686274509807,0,0,9.0,89.0,,,,,1e-5,1e-5
intphys2__main__videomae__vit_h_16__temporal_attn__layer_32,IntPhys2,main,VideoMAE,ViT-H/16,32,41.17647058823529,39.21568627450981,43.13725490196079,33.33333333333333,37.254901960784316,1.9607843137254903,3.9215686274509807,1.9607843137254903,7.105427357601002e-15,-5.882352941176464,0,0,2.0,43.0,,,,,5e-5,5e-5
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_10,IntPhys2,main,VideoMAE-v2,ViT-G/16,10,19.6078431372549,33.33333333333333,23.52941176470588,25.49019607843137,23.52941176470588,7.069708383262723,2.995147513043033,-4.07456087021969,8.823529411764707,4.901960784313726,0,0,16.0,26.0,,,,,1e-5,1e-5
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_20,IntPhys2,main,VideoMAE-v2,ViT-G/16,20,62.74509803921568,33.33333333333333,33.33333333333333,62.745098039215684,50.98039215686274,16.98089027028311,6.792356108113243,-10.188534162169866,-29.411764705882348,-5.882352941176464,0,0,43.0,36.0,,,,,1e-5,1e-5
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_30,IntPhys2,main,VideoMAE-v2,ViT-G/16,30,35.29411764705883,21.568627450980394,33.33333333333333,68.62745098039215,54.90196078431373,7.4234096023533,16.752948520230447,9.329538917877148,-7.843137254901972,26.47058823529411,0,0,67.0,31.0,,,,,1e-5,1e-5
intphys2__main__videomae_v2__vit_g_16__temporal_attn__layer_40,IntPhys2,main,VideoMAE-v2,ViT-G/16,40,41.17647058823529,35.294117647058826,35.294117647058826,33.33333333333333,49.01960784313725,3.396178054056618,7.843137254901961,4.446959200845344,-5.882352941176464,0.0,0,0,17.0,47.0,,,,,1e-5,1e-5
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA,ViT-L/16,6,15.68627450980392,15.686274509803921,9.803921568627452,15.686274509803921,13.725490196078432,3.396178054056621,1.132059351352206,-2.264118702704415,-2.941176470588232,-0.9803921568627416,0,39,7.0,4.0,,15,,True,5e-4,5e-4
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_12,IntPhys2,same_L,V-JEPA,ViT-L/16,12,62.74509803921568,64.70588235294117,66.66666666666666,64.70588235294117,66.66666666666666,1.9607843137254903,1.9607843137254903,0.0,2.941176470588246,2.941176470588246,0,0,84.0,89.0,,,,,1e-5,1e-5
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_18,IntPhys2,same_L,V-JEPA,ViT-L/16,18,74.50980392156863,68.62745098039215,78.43137254901961,68.62745098039215,74.50980392156863,4.934532310634481,3.3961780540566266,-1.538354256577854,-0.9803921568627487,-2.941176470588246,0,0,77.0,9.0,,,,,1e-5,1e-5
intphys2__same_l__v_jepa__vit_l_16__temporal_attn__layer_24,IntPhys2,same_L,V-JEPA,ViT-L/16,24,60.78431372549019,54.90196078431373,64.70588235294117,50.98039215686274,62.745098039215684,4.934532310634474,6.3030397130672915,1.3685074024328179,-0.9803921568627416,-3.9215686274509807,0,0,8.0,7.0,,,,,1e-4,1e-4
intphys2__same_l__v_jepa_2__vit_l_16__temporal_attn__layer_6,IntPhys2,same_L,V-JEPA 2,ViT-L/16,6,19.6078431372549,11.76470588235294,17.647058823529413,15.686274509803921,27.450980392156865,4.081698038168888,5.990295026086067,1.9085969879171794,-4.901960784313722,1.9607843137254939,37,43,2.0,3.0,22,15,True,True,5e-4,5e-4
