run_set,source_summary_csv,config_id,run_id,dataset,dataset_hydra,experiment,model,backbone,probe,probe_hydra,layer,layer_label,seed,source,status,objective_metric_name,primary_metric_name,train_primary,train_accuracy,val_primary,val_accuracy,test_primary,test_accuracy,n_epochs,expected_epochs,early_stopped,expected_early_stopping,artifact_train_eval_summary,artifact_probe_eval_dir,source_csv_path,source_csv_line_number,source_excel_workbook,source_excel_sheet,source_excel_range,notes
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae__mlp__layer_24,intphys2__videomae__mlp__layer_24__seed_42,IntPhys2,intphys2,main,VideoMAE,ViT-H/16,MLP,mlp,24,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,100,95.198675,39.215686,64.215686,35.294118,59.803922,,2000,,true,,,results/verified_layerwise_probe_configs.csv,117,intphys_primary_db.xlsx,VideoMAE,N10:X10,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__linear__layer_40,intphys2__videomae_v2__linear__layer_40__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,40,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,62.251656,74.503311,29.411765,59.313725,47.058824,56.862745,,2000,,true,,,results/verified_layerwise_probe_configs.csv,146,intphys_primary_db.xlsx,VideoMAE-v2,AA3:AK3,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__linear__layer_10,intphys2__videomae_v2__linear__layer_10__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,10,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,31.788079,53.807947,25.490196,52.941176,25.490196,53.431373,,100,,true,,,results/verified_layerwise_probe_configs.csv,147,intphys_primary_db.xlsx,VideoMAE-v2,AA4:AK4,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__linear__layer_20,intphys2__videomae_v2__linear__layer_20__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,20,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,96.688742,95.033113,47.058824,63.72549,37.254902,59.313725,,2000,,true,,,results/verified_layerwise_probe_configs.csv,148,intphys_primary_db.xlsx,VideoMAE-v2,AA5:AK5,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__linear__layer_30,intphys2__videomae_v2__linear__layer_30__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,Linear,linear,30,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,59.602649,76.821192,39.215686,63.72549,41.176471,58.823529,,2000,,true,,,results/verified_layerwise_probe_configs.csv,149,intphys_primary_db.xlsx,VideoMAE-v2,AA6:AK6,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__mlp__layer_40,intphys2__videomae_v2__mlp__layer_40__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,MLP,mlp,40,Final layer,42,source_csv,complete,voe_accuracy,voe_accuracy,37.748344,52.152318,33.333333,51.470588,37.254902,52.45098,,100,,true,,,results/verified_layerwise_probe_configs.csv,150,intphys_primary_db.xlsx,VideoMAE-v2,AA7:AK7,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__mlp__layer_10,intphys2__videomae_v2__mlp__layer_10__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,MLP,mlp,10,Layer 0.25,42,source_csv,complete,voe_accuracy,voe_accuracy,92.05298,93.377483,31.372549,57.843137,31.372549,59.803922,,2000,,true,,,results/verified_layerwise_probe_configs.csv,151,intphys_primary_db.xlsx,VideoMAE-v2,AA8:AK8,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__mlp__layer_20,intphys2__videomae_v2__mlp__layer_20__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,MLP,mlp,20,Layer 0.5,42,source_csv,complete,voe_accuracy,voe_accuracy,62.251656,76.986755,41.176471,66.176471,47.058824,56.372549,,2000,,true,,,results/verified_layerwise_probe_configs.csv,152,intphys_primary_db.xlsx,VideoMAE-v2,AA9:AK9,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,intphys2__videomae_v2__mlp__layer_30,intphys2__videomae_v2__mlp__layer_30__seed_42,IntPhys2,intphys2,main,VideoMAE-v2,ViT-G/16,MLP,mlp,30,Layer 0.75,42,source_csv,complete,voe_accuracy,voe_accuracy,72.847682,83.609272,41.176471,66.666667,45.098039,62.745098,,2000,,true,,,results/verified_layerwise_probe_configs.csv,153,intphys_primary_db.xlsx,VideoMAE-v2,AA10:AK10,seed 42 read from source CSV metrics
main_linear_mlp,results/seed_runs/layerwise_seed_results_long.csv,mvp__jepa_v1__linear__layer_32,mvp__jepa_v1__linear__layer_32__seed_42,MVP,mvp,main,V-JEPA,ViT-H/16,Linear,linear,32,Final layer,42,source_csv,complete,pair_consistency,pair_consistency,53.052277,74.064081,49.34277,71.688574,48.736097,71.587462,,100,,true,,,results/verified_layerwise_probe_configs.csv,338,mvp_primary_db.xlsx,V-JEPA,N3:X3,seed 42 read from source CSV metrics
